Topic 1: happy, hour, beer, specials, menu, drinks, during, pm, half, drink
Topic 2: fish, wings, chips, mahi, wing, sam, fried, catfish, irish, fox
Topic 3: buffet, indian, lunch, dishes, fry, selection, items, price, including, stars
Topic 4: love, friendly, staff, best, amazing, favorite, every, awesome, service, delicious
Topic 5: chicken, rice, thai, fried, sauce, soup, spicy, chinese, beef, dish
Topic 6: star, stars, time, gf, better, tamale, jimmy, office, people, kind
Topic 7: service, excellent, recommend, friendly, prices, lunch, highly, menu, staff, quality
Topic 8: burger, fries, burgers, cheese, sweet, potato, bacon, bun, order, onion
Topic 9: breakfast, eggs, bacon, coffee, egg, morning, toast, brunch, pancakes, french
Topic 10: pizza, crust, italian, sauce, cheese, pizzas, thin, pasta, salad, sausage
Topic 11: coffee, tea, ice, cream, iced, cup, pasty, bagel, bagels, milk
Topic 12: ribs, blah, bbq, cajun, baby, bone, mouth, charm, watering, rock
Topic 13: order, time, minutes, table, service, ordered, asked, took, server, wait
Topic 14: steak, ordered, potatoes, cooked, sauce, medium, side, salad, rare, bit
Topic 15: asu, raw, samples, las, queen, varied, claim, def, cheers, ethiopian
Topic 16: pita, hummus, greek, gyro, chicken, middle, jungle, cheese, falafel, mediterranean
Topic 17: pretty, location, better, little, places, fast, find, best, eat, lot
Topic 18: night, patio, outside, group, time, dinner, friends, people, bar, table
Topic 19: mexican, tacos, salsa, chips, beans, burrito, taco, green, cheese, chicken
Topic 20: pho, priced, vietnamese, reasonably, spring, overpriced, rolls, broth, pei, wei
Topic 21: sushi, roll, rolls, tuna, fish, fresh, japanese, yelp, salmon, spicy
Topic 22: bar, beer, pretty, drinks, music, cool, game, drink, beers, night
Topic 23: wine, glass, list, dining, menu, chef, bottle, experience, beautiful, wines
Topic 24: free, vegetarian, cheese, vegan, olive, oil, bruschetta, salad, options, gluten
Topic 25: tasted, ordered, taste, nothing, bad, meat, dry, better, thing, eat
Topic 26: old, open, parking, scottsdale, location, street, downtown, new, local, waffles
Topic 27: service, time, times, review, owner, last, customer, business, visit, years
Topic 28: dessert, dinner, delicious, salad, meal, menu, amazing, ordered, dish, chocolate
Topic 29: sandwich, salad, lunch, bread, cheese, sandwiches, chicken, fresh, meat, little
Topic 30: hot, dog, dogs, rings, onion, chicago, hamburger, delux, flies, bay
